@relation 'position-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-L4,6'

@attribute class {rest,index,pinch_1,pinch_3,fist,spread}
@attribute A_mean numeric
@attribute A_median numeric
@attribute A_variance numeric
@attribute B_mean numeric
@attribute B_median numeric
@attribute B_variance numeric
@attribute C_mean numeric
@attribute C_median numeric
@attribute C_variance numeric
@attribute D_mean numeric
@attribute D_median numeric
@attribute D_variance numeric
@attribute E_mean numeric
@attribute E_median numeric
@attribute E_variance numeric
@attribute F_mean numeric
@attribute F_median numeric
@attribute F_variance numeric
@attribute G_mean numeric
@attribute G_median numeric
@attribute G_variance numeric
@attribute H_mean numeric
@attribute H_median numeric
@attribute H_variance numeric

@data
fist,0.7,-2,76.01,-0.9,-1,6.29,-1,1,15.6,-0.4,-4,90.84,-2,-4,79.8,-3,-5,508.2,-2.3,-4,261.41,-5.5,-9,1095.25
fist,-1.6,-3,32.84,-1.9,-1,10.49,-2.3,-3,10.41,-4.4,-5,61.64,-5.5,2,455.25,1.7,-2,1133.01,-2.2,2,513.56,3.4,9,733.64
fist,0.5,0,109.45,0.3,-1,51.61,-0.3,0,94.61,0.5,-5,252.45,-2.1,1,805.49,4,6,1386.4,7.6,1,1174.24,3.1,5,1356.69
fist,-2.6,-3,30.24,-2,-1,5.2,-0.6,1,53.84,1.3,3,123.81,0.8,5,294.76,-8.9,3,694.49,-5,0,174.2,-1.7,-2,55.41
fist,-1.1,1,29.49,-1.7,-1,4.21,-0.8,-1,29.16,-1.6,-1,149.04,2.2,-3,351.36,6.3,19,865.41,-3.1,4,208.69,-4.5,0,199.45
fist,-0.4,2,15.84,-1.6,0,12.24,-0.9,0,7.69,1,4,35.4,1.5,8,475.45,-1.5,-3,675.05,2.9,8,160.49,2.4,1,165.44
fist,-0.3,1,27.01,-0.9,1,21.29,-2.4,-2,35.84,-4.6,-5,57.84,2.1,-4,245.29,-4.6,-2,1074.64,-4,-12,472.8,-1.5,-6,386.45
fist,-1.5,2,137.25,-0.6,0,19.44,0,3,64.8,2.7,5,197.61,-1.7,-2,284.41,0.8,-12,558.36,-0.2,0,102.16,-1.3,1,165.21
fist,-3.7,-5,62.61,-3.6,-3,30.04,-2.9,-2,65.49,-7,-5,408.6,-7.2,-10,377.56,-4,-9,1415.2,-5.9,-6,60.69,-2.9,4,701.69
fist,-1.9,-2,77.89,-0.9,0,13.69,-1.8,-2,57.96,-1.9,-1,119.89,-1.2,-1,595.96,-6.9,-13,1140.09,0.3,1,92.81,-18.8,-16,863.36
fist,0.3,5,125.61,0.1,3,51.89,0,-1,105.8,1.2,5,324.96,7.3,13,210.81,-8.8,0,1529.56,-5.5,-5,382.05,3.8,16,891.36
fist,-2.7,-2,18.01,-1.7,-2,12.81,-1,0,12,-1.6,0,29.64,-0.9,-3,994.69,1.2,17,1177.16,-1.9,-3,140.89,-1.6,4,398.04
fist,-2.6,-3,75.64,-2.6,-4,5.44,-0.8,0,56.56,2.9,3,321.49,-0.1,-2,219.09,0,12,439,-3.8,-5,58.56,1.9,0,403.29
fist,-0.9,1,29.29,-1.4,0,12.64,-2.1,-2,11.29,-3.7,-4,66.41,-6.1,-4,231.49,-1.5,-6,665.25,-4,-3,73,-2.7,1,67.21
fist,-1.9,-2,66.09,-2.2,-1,11.96,-1.3,-2,37.01,-1.1,0,60.69,2.4,8,123.44,-4.1,-7,478.49,-0.3,4,136.61,-5.7,-4,153.61
fist,-0.7,0,17.41,-1,-1,8.6,-2.6,-2,16.64,-4.6,2,89.84,0.5,6,403.05,-4.2,-5,332.36,2,2,131.6,3,1,269.6
fist,-1.1,-2,14.29,-1.6,-1,4.64,-2.2,-2,19.36,-1.3,-2,20.81,2.2,11,284.36,-6.2,-3,190.96,-2.9,-2,46.89,-2.9,0,53.29
fist,-1,-1,24.2,-0.3,-1,4.21,-0.5,0,7.65,-0.8,-2,27.56,-0.6,-3,137.64,0.6,6,164.24,-0.5,-1,16.25,-0.3,0,43.61
fist,-1.2,-3,61.96,-1.3,-2,6.01,-1.5,-1,7.85,-1.5,-2,30.85,-3.6,-1,31.84,-3.2,-5,132.36,-1.8,-2,4.16,-1.8,-1,5.96
fist,-1.4,-1,6.84,-1.4,-1,3.44,-0.1,0,5.89,-0.9,-1,21.89,2.1,0,144.69,1.1,1,320.49,-1.6,-1,17.04,-2.1,-1,5.29
fist,-0.7,1,14.61,-1.2,0,13.36,-1.9,-1,8.89,-1.7,-2,11.01,-5.4,-7,121.84,2.2,3,482.56,0.9,1,18.89,-0.5,1,4.05
fist,-1.8,-3,5.96,-1.1,-1,4.69,-1.4,-1,4.24,-2.1,-3,24.29,-2.8,5,423.96,-6.6,-3,1252.04,-3.7,-4,24.21,-1.5,-2,2.25
fist,-1.7,-2,4.21,-1.7,-1,7.41,-0.5,0,37.85,-0.7,-3,103.01,3,4,302.2,-10.7,-10,205.61,-0.1,1,84.69,-2.5,-4,57.85
fist,-1.1,0,6.49,-0.9,0,4.09,-1,-1,8.4,-1.8,1,26.36,-1.2,-2,209.36,12.1,14,251.29,-0.3,-1,89.21,-0.2,0,9.36
fist,-1.1,-1,4.89,-1.4,-1,5.04,-1.7,0,9.81,-2.4,-3,24.64,-1.4,2,95.04,-1,0,400,-2.1,-3,35.09,1.6,0,238.64
fist,-1.6,-2,8.64,-1,-2,6.6,-0.6,0,14.84,-1.1,1,52.49,-1.6,-3,291.24,-0.4,5,549.64,-1.6,0,45.64,-2.3,-3,25.01
fist,-1.5,-1,4.05,-1,-1,4,-0.2,0,20.16,0.7,0,88.61,1.9,5,63.89,-3.1,0,204.29,-0.6,1,20.04,-2.7,-2,17.61
fist,-1.1,-1,2.09,-1.6,-1,2.64,-1.4,-1,10.04,-1.2,0,36.56,2.2,1,165.56,-7.3,1,255.21,-1.6,-5,65.24,-1.1,-1,15.49
fist,-1.2,-1,5.56,-1.6,-2,3.64,-1,0,11,-3.2,-4,13.96,-7.9,-4,171.69,-4.6,-3,100.64,-1.2,-2,21.36,-1.5,-1,3.25
fist,-1.3,-1,4.01,-1.4,-1,4.24,-0.7,1,7.01,-1.6,0,20.24,-3.5,-2,145.25,2,3,223.2,-2.2,-1,11.96,-1.1,-1,4.09
fist,-1.7,-1,2.81,-1.9,-1,1.89,-1.3,-1,13.21,-2.3,-3,34.21,-3.4,-9,323.04,4.2,-1,786.96,-0.2,-1,88.56,-1.3,0,44.21
fist,-0.9,0,3.69,-0.6,-1,3.24,-1.2,-2,21.56,-1.7,-3,35.61,-3.7,-3,263.21,-2.2,4,223.56,-2,1,71.2,0.2,1,35.76
